"entries","date"
5214290,2011-01-11
4150197,2011-01-12
5293829,2011-01-13
4941281,2011-01-14
2787102,2011-01-15
2190267,2011-01-16
3146181,2011-01-17
4968955,2011-01-18
5296239,2011-01-19
5375735,2011-01-20
4831626,2011-01-21
2780474,2011-01-22
2038158,2011-01-23
5015213,2011-01-24
5072590,2011-01-25
4969611,2011-01-26
3727601,2011-01-27
5138035,2011-01-28
3035685,2011-01-29
2322107,2011-01-30
5349861,2011-01-31
5339830,2011-02-01
4876686,2011-02-02
5553842,2011-02-03
5228780,2011-02-04
2848139,2011-02-05
2339988,2011-02-06
5383508,2011-02-07
5506480,2011-02-08
5494629,2011-02-09
5543928,2011-02-10
5085652,2011-02-11
3099136,2011-02-12
2353653,2011-02-13
5492565,2011-02-14
5470630,2011-02-15
5505943,2011-02-16
5522876,2011-02-17
5155556,2011-02-18
2982078,2011-02-19
2363921,2011-02-20
2973075,2011-02-21
5072484,2011-02-22
5188510,2011-02-23
5173596,2011-02-24
4537722,2011-02-25
3075525,2011-02-26
2262027,2011-02-27
5174901,2011-02-28
5433129,2011-03-01
5415555,2011-03-02
5422611,2011-03-03
5125234,2011-03-04
3105583,2011-03-05
2054880,2011-03-06
5404774,2011-03-07
5583935,2011-03-08
5578804,2011-03-09
5457333,2011-03-10
5113264,2011-03-11
3141792,2011-03-12
2255633,2011-03-13
5340791,2011-03-14
5540538,2011-03-15
5463978,2011-03-16
5757139,2011-03-17
5058587,2011-03-18
3248839,2011-03-19
2428696,2011-03-20
5198015,2011-03-21
5589372,2011-03-22
5404166,2011-03-23
5535027,2011-03-24
5013252,2011-03-25
3142968,2011-03-26
2368955,2011-03-27
5344875,2011-03-28
5501533,2011-03-29
5519791,2011-03-30
5529137,2011-03-31
4916489,2011-04-01
3211346,2011-04-02
2461955,2011-04-03
5404166,2011-04-04
5540285,2011-04-05
5680953,2011-04-06
5645356,2011-04-07
5084338,2011-04-08
3268865,2011-04-09
2396540,2011-04-10
5458880,2011-04-11
5537688,2011-04-12
5556921,2011-04-13
5723398,2011-04-14
5083831,2011-04-15
2941357,2011-04-16
2558844,2011-04-17
5001781,2011-04-18
4961882,2011-04-19
5168494,2011-04-20
5370783,2011-04-21
4068666,2011-04-22
2742170,2011-04-23
2388500,2011-04-24
4790055,2011-04-25
5149982,2011-04-26
5596190,2011-04-27
5481661,2011-04-28
5063698,2011-04-29
3341079,2011-04-30
2639147,2011-05-01
5380884,2011-05-02
5587110,2011-05-03
5505251,2011-05-04
5734535,2011-05-05
5043130,2011-05-06
3230876,2011-05-07
2433992,2011-05-08
5344685,2011-05-09
5610040,2011-05-10
5612349,2011-05-11
5676160,2011-05-12
5005062,2011-05-13
3210684,2011-05-14
2421106,2011-05-15
5399425,2011-05-16
5460692,2011-05-17
5604551,2011-05-18
5597120,2011-05-19
4990437,2011-05-20
3259619,2011-05-21
2421473,2011-05-22
5363925,2011-05-23
5593735,2011-05-24
5654843,2011-05-25
5592589,2011-05-26
4854805,2011-05-27
3000989,2011-05-28
2527589,2011-05-29
2599823,2011-05-30
5366709,2011-05-31
5497939,2011-06-01
5585685,2011-06-02
4981883,2011-06-03
3105518,2011-06-04
2479583,2011-06-05
5406232,2011-06-06
5613645,2011-06-07
5543537,2011-06-08
5304110,2011-06-09
4970597,2011-06-10
3096390,2011-06-11
2581020,2011-06-12
5383835,2011-06-13
5579834,2011-06-14
5584447,2011-06-15
5574370,2011-06-16
4735150,2011-06-17
3257377,2011-06-18
2469668,2011-06-19
5176330,2011-06-20
5438788,2011-06-21
5361836,2011-06-22
5325070,2011-06-23
4719817,2011-06-24
3231019,2011-06-25
2780306,2011-06-26
5253099,2011-06-27
5493822,2011-06-28
5353676,2011-06-29
5275176,2011-06-30
4469753,2011-07-01
2930477,2011-07-02
2177322,2011-07-03
2652658,2011-07-04
4997387,2011-07-05
5226915,2011-07-06
5277970,2011-07-07
4616048,2011-07-08
3104093,2011-07-09
2509714,2011-07-10
5107437,2011-07-11
5249842,2011-07-12
5314983,2011-07-13
5366647,2011-07-14
4664288,2011-07-15
3116656,2011-07-16
2466190,2011-07-17
5030234,2011-07-18
5261712,2011-07-19
5331092,2011-07-20
5234758,2011-07-21
4302216,2011-07-22
2830436,2011-07-23
2334426,2011-07-24
5010658,2011-07-25
5305904,2011-07-26
5332354,2011-07-27
5260744,2011-07-28
4491981,2011-07-29
3114154,2011-07-30
2485688,2011-07-31
4969749,2011-08-01
5221517,2011-08-02
5205080,2011-08-03
5230677,2011-08-04
4552256,2011-08-05
2998362,2011-08-06
2392329,2011-08-07
4949686,2011-08-08
5015579,2011-08-09
5242333,2011-08-10
5278471,2011-08-11
4498711,2011-08-12
3037444,2011-08-13
1911676,2011-08-14
4751608,2011-08-15
4976001,2011-08-16
5129839,2011-08-17
5016382,2011-08-18
4381475,2011-08-19
3015499,2011-08-20
2316357,2011-08-21
4746535,2011-08-22
4817137,2011-08-23
4937512,2011-08-24
4728906,2011-08-25
4340901,2011-08-26
523692,2011-08-27
3763,2011-08-28
3646066,2011-08-29
4916340,2011-08-30
5058783,2011-08-31
5128417,2011-09-01
4411322,2011-09-02
3084199,2011-09-03
2611514,2011-09-04
2574723,2011-09-05
5023952,2011-09-06
5310349,2011-09-07
5680576,2011-09-08
5073961,2011-09-09
3022541,2011-09-10
2219550,2011-09-11
5548789,2011-09-12
5706323,2011-09-13
5761841,2011-09-14
5792323,2011-09-15
5211429,2011-09-16
3221091,2011-09-17
2549367,2011-09-18
5575172,2011-09-19
5685621,2011-09-20
5788917,2011-09-21
5766796,2011-09-22
5048005,2011-09-23
3221771,2011-09-24
2522855,2011-09-25
5507366,2011-09-26
5666374,2011-09-27
5455788,2011-09-28
4775866,2011-09-29
4585343,2011-09-30
3121935,2011-10-01
2524883,2011-10-02
5537013,2011-10-03
5610450,2011-10-04
5780447,2011-10-05
5747986,2011-10-06
4995494,2011-10-07
3078407,2011-10-08
2572866,2011-10-09
4126028,2011-10-10
5639653,2011-10-11
5622995,2011-10-12
5608663,2011-10-13
5051533,2011-10-14
3416458,2011-10-15
2618496,2011-10-16
5604765,2011-10-17
5683024,2011-10-18
5546356,2011-10-19
5667523,2011-10-20
5127101,2011-10-21
3393045,2011-10-22
2546669,2011-10-23
5529413,2011-10-24
5771625,2011-10-25
5727460,2011-10-26
5783969,2011-10-27
5323992,2011-10-28
2703299,2011-10-29
2489241,2011-10-30
5586617,2011-10-31
5738341,2011-11-01
5778560,2011-11-02
5838613,2011-11-03
5280340,2011-11-04
3397572,2011-11-05
2815875,2011-11-06
5593736,2011-11-07
5291707,2011-11-08
5774369,2011-11-09
5829972,2011-11-10
4763086,2011-11-11
3366998,2011-11-12
2467053,2011-11-13
5516287,2011-11-14
5639390,2011-11-15
5693108,2011-11-16
5748006,2011-11-17
5374129,2011-11-18
3285254,2011-11-19
2465034,2011-11-20
5551634,2011-11-21
5740481,2011-11-22
5433597,2011-11-23
2258883,2011-11-24
3330630,2011-11-25
2930866,2011-11-26
2261848,2011-11-27
5403499,2011-11-28
5552634,2011-11-29
5824261,2011-11-30
5806971,2011-12-01
5431083,2011-12-02
3537421,2011-12-03
2592114,2011-12-04
5577815,2011-12-05
5710910,2011-12-06
5733748,2011-12-07
5874863,2011-12-08
5502456,2011-12-09
3683799,2011-12-10
2619319,2011-12-11
5556846,2011-12-12
5746848,2011-12-13
5723311,2011-12-14
5663258,2011-12-15
5414102,2011-12-16
3627495,2011-12-17
2685251,2011-12-18
5534873,2011-12-19
5661821,2011-12-20
5558916,2011-12-21
5528713,2011-12-22
4655484,2011-12-23
2622091,2011-12-24
1629616,2011-12-25
2870411,2011-12-26
4310587,2011-12-27
4766977,2011-12-28
4797686,2011-12-29
4446079,2011-12-30
3262185,2011-12-31
2285338,2012-01-01
2869048,2012-01-02
5092696,2012-01-03
5190832,2012-01-04
5360880,2012-01-05
5070040,2012-01-06
3041807,2012-01-07
2219631,2012-01-08
5186014,2012-01-09
5307178,2012-01-10
5354646,2012-01-11
5221766,2012-01-12
5017272,2012-01-13
2780965,2012-01-14
2113182,2012-01-15
3153546,2012-01-16
5221070,2012-01-17
5439410,2012-01-18
5413910,2012-01-19
5094075,2012-01-20
2607035,2012-01-21
2118848,2012-01-22
5057404,2012-01-23
5320644,2012-01-24
5318913,2012-01-25
5300641,2012-01-26
4897887,2012-01-27
3101088,2012-01-28
2304716,2012-01-29
5252159,2012-01-30
5531654,2012-01-31
5529241,2012-02-01
5588688,2012-02-02
5232077,2012-02-03
3118674,2012-02-04
2314390,2012-02-05
5348008,2012-02-06
5773635,2012-02-07
5599363,2012-02-08
5648018,2012-02-09
5298147,2012-02-10
2965087,2012-02-11
2247506,2012-02-12
5271404,2012-02-13
5671711,2012-02-14
5572504,2012-02-15
5555440,2012-02-16
5193333,2012-02-17
3119144,2012-02-18
2455652,2012-02-19
3207715,2012-02-20
5194129,2012-02-21
5279625,2012-02-22
5312603,2012-02-23
4787857,2012-02-24
3041699,2012-02-25
2263968,2012-02-26
5347732,2012-02-27
5561348,2012-02-28
5465589,2012-02-29
5603832,2012-03-01
5264510,2012-03-02
3085876,2012-03-03
2343637,2012-03-04
5497292,2012-03-05
5633933,2012-03-06
5653722,2012-03-07
5696327,2012-03-08
5264382,2012-03-09
3258052,2012-03-10
2409661,2012-03-11
5446929,2012-03-12
5559431,2012-03-13
5699443,2012-03-14
5681431,2012-03-15
5061442,2012-03-16
3553621,2012-03-17
2567427,2012-03-18
5460435,2012-03-19
5628766,2012-03-20
5631606,2012-03-21
5698452,2012-03-22
5097355,2012-03-23
3294434,2012-03-24
2410405,2012-03-25
5488827,2012-03-26
5585870,2012-03-27
5601325,2012-03-28
5735741,2012-03-29
5144614,2012-03-30
3050326,2012-03-31
2470355,2012-04-01
5572062,2012-04-02
5759406,2012-04-03
5818780,2012-04-04
5826657,2012-04-05
4153901,2012-04-06
3187494,2012-04-07
2401520,2012-04-08
4962263,2012-04-09
5204468,2012-04-10
5237853,2012-04-11
5253948,2012-04-12
4670295,2012-04-13
3309473,2012-04-14
2498325,2012-04-15
5519877,2012-04-16
5687535,2012-04-17
5701823,2012-04-18
5750211,2012-04-19
5118984,2012-04-20
3359339,2012-04-21
2238583,2012-04-22
5438883,2012-04-23
5672267,2012-04-24
5786875,2012-04-25
5735512,2012-04-26
5207212,2012-04-27
3335255,2012-04-28
2620531,2012-04-29
5579476,2012-04-30
5641493,2012-05-01
5727461,2012-05-02
5765620,2012-05-03
5079791,2012-05-04
3322439,2012-05-05
2641461,2012-05-06
5575071,2012-05-07
5683198,2012-05-08
5660767,2012-05-09
5846970,2012-05-10
5157601,2012-05-11
3388495,2012-05-12
2541922,2012-05-13
5496953,2012-05-14
5632836,2012-05-15
5794647,2012-05-16
5872634,2012-05-17
5178471,2012-05-18
3543497,2012-05-19
2804405,2012-05-20
5325465,2012-05-21
5630818,2012-05-22
5721699,2012-05-23
5615139,2012-05-24
4884658,2012-05-25
3090678,2012-05-26
2544757,2012-05-27
2672706,2012-05-28
5473159,2012-05-29
5563724,2012-05-30
5667720,2012-05-31
5040580,2012-06-01
3225806,2012-06-02
2635758,2012-06-03
5430812,2012-06-04
5709890,2012-06-05
5719822,2012-06-06
5619156,2012-06-07
5096462,2012-06-08
3307510,2012-06-09
2752104,2012-06-10
5461762,2012-06-11
5646752,2012-06-12
5567243,2012-06-13
5761010,2012-06-14
5006353,2012-06-15
3362783,2012-06-16
2555802,2012-06-17
5403696,2012-06-18
5613009,2012-06-19
5659315,2012-06-20
5497742,2012-06-21
4747428,2012-06-22
3393934,2012-06-23
2847892,2012-06-24
5178778,2012-06-25
5550468,2012-06-26
5696237,2012-06-27
5497415,2012-06-28
4733840,2012-06-29
3218284,2012-06-30
2572057,2012-07-01
5087903,2012-07-02
5267882,2012-07-03
2879031,2012-07-04
4894310,2012-07-05
4393960,2012-07-06
2947587,2012-07-07
2500470,2012-07-08
5200824,2012-07-09
5411715,2012-07-10
5455237,2012-07-11
5505822,2012-07-12
4736571,2012-07-13
3230079,2012-07-14
2544032,2012-07-15
5258404,2012-07-16
5428833,2012-07-17
5277650,2012-07-18
5405734,2012-07-19
4592043,2012-07-20
3277808,2012-07-21
2663291,2012-07-22
5183079,2012-07-23
5449268,2012-07-24
5487069,2012-07-25
5276718,2012-07-26
4586418,2012-07-27
3001661,2012-07-28
2506665,2012-07-29
5200260,2012-07-30
5368327,2012-07-31
5307178,2012-08-01
5426022,2012-08-02
4679348,2012-08-03
3195699,2012-08-04
2508463,2012-08-05
5074771,2012-08-06
5299628,2012-08-07
5351772,2012-08-08
5309019,2012-08-09
4440017,2012-08-10
3078855,2012-08-11
2614090,2012-08-12
5049224,2012-08-13
5169804,2012-08-14
5130406,2012-08-15
5288087,2012-08-16
4546756,2012-08-17
3081006,2012-08-18
2557150,2012-08-19
4853160,2012-08-20
5060439,2012-08-21
5070405,2012-08-22
5072941,2012-08-23
4429610,2012-08-24
3087586,2012-08-25
2540174,2012-08-26
4941567,2012-08-27
5202825,2012-08-28
5271318,2012-08-29
5234973,2012-08-30
4548832,2012-08-31
3146252,2012-09-01
2656774,2012-09-02
2609738,2012-09-03
5210907,2012-09-04
5410558,2012-09-05
5838079,2012-09-06
5165092,2012-09-07
3067716,2012-09-08
2660410,2012-09-09
5696584,2012-09-10
5773340,2012-09-11
5848262,2012-09-12
5874383,2012-09-13
5283650,2012-09-14
3381599,2012-09-15
2624683,2012-09-16
4791635,2012-09-17
4843388,2012-09-18
5877535,2012-09-19
5878027,2012-09-20
5241611,2012-09-21
3363226,2012-09-22
2631249,2012-09-23
5721231,2012-09-24
5633357,2012-09-25
4868668,2012-09-26
5912058,2012-09-27
5141056,2012-09-28
3403588,2012-09-29
2643761,2012-09-30
5611240,2012-10-01
5708388,2012-10-02
5853218,2012-10-03
5879394,2012-10-04
5253173,2012-10-05
3440953,2012-10-06
2558603,2012-10-07
4208827,2012-10-08
5662339,2012-10-09
5909600,2012-10-10
6014698,2012-10-11
5355293,2012-10-12
3482251,2012-10-13
2708736,2012-10-14
5669101,2012-10-15
5872416,2012-10-16
5850227,2012-10-17
5915893,2012-10-18
5144214,2012-10-19
3523459,2012-10-20
2681950,2012-10-21
5674438,2012-10-22
5799254,2012-10-23
5809774,2012-10-24
5929472,2012-10-25
5267537,2012-10-26
3474449,2012-10-27
1852524,2012-10-28
1335,2012-10-29
1114,2012-10-30
2009,2012-10-31
18390,2012-11-01
9822,2012-11-02
1790425,2012-11-03
1749598,2012-11-04
4548759,2012-11-05
4461519,2012-11-06
4581637,2012-11-07
4794219,2012-11-08
4871448,2012-11-09
3277810,2012-11-10
2566666,2012-11-11
4622755,2012-11-12
5492065,2012-11-13
5530072,2012-11-14
5605667,2012-11-15
5187806,2012-11-16
3280773,2012-11-17
2467339,2012-11-18
5441786,2012-11-19
5637900,2012-11-20
5452820,2012-11-21
2183712,2012-11-22
3292681,2012-11-23
2920579,2012-11-24
2321161,2012-11-25
5436069,2012-11-26
5426002,2012-11-27
5744132,2012-11-28
5713842,2012-11-29
5370941,2012-11-30
3401436,2012-12-01
2525273,2012-12-02
5587886,2012-12-03
5715175,2012-12-04
5686768,2012-12-05
5676231,2012-12-06
5262919,2012-12-07
3500965,2012-12-08
2524789,2012-12-09
5489635,2012-12-10
5757539,2012-12-11
5792964,2012-12-12
5804042,2012-12-13
5387859,2012-12-14
3754358,2012-12-15
2549292,2012-12-16
5490117,2012-12-17
5641115,2012-12-18
5688804,2012-12-19
5662785,2012-12-20
4933524,2012-12-21
3250595,2012-12-22
2710498,2012-12-23
3442776,2012-12-24
1685381,2012-12-25
3860443,2012-12-26
4317970,2012-12-27
4345148,2012-12-28
2911849,2012-12-29
2776457,2012-12-30
4165708,2012-12-31
2167743,2013-01-01
5010264,2013-01-02
5218576,2013-01-03
4902787,2013-01-04
3022134,2013-01-05
2275252,2013-01-06
5174352,2013-01-07
5270907,2013-01-08
5285681,2013-01-09
5323621,2013-01-10
4961394,2013-01-11
2998511,2013-01-12
2252463,2013-01-13
5129015,2013-01-14
5284280,2013-01-15
5210255,2013-01-16
5400529,2013-01-17
5092182,2013-01-18
3025163,2013-01-19
2369846,2013-01-20
3144468,2013-01-21
5114998,2013-01-22
5009564,2013-01-23
5108997,2013-01-24
4741592,2013-01-25
2880530,2013-01-26
2243450,2013-01-27
5122192,2013-01-28
5509404,2013-01-29
5554453,2013-01-30
5586255,2013-01-31
5230817,2013-02-01
3064582,2013-02-02
2231716,2013-02-03
5393361,2013-02-04
5522224,2013-02-05
5617830,2013-02-06
5693624,2013-02-07
4419613,2013-02-08
2306159,2013-02-09
2348791,2013-02-10
5332192,2013-02-11
5504726,2013-02-12
5756976,2013-02-13
5796682,2013-02-14
5277971,2013-02-15
3161997,2013-02-16
2454458,2013-02-17
3178254,2013-02-18
5144554,2013-02-19
5532076,2013-02-20
5534415,2013-02-21
5195612,2013-02-22
2910742,2013-02-23
2281808,2013-02-24
5406939,2013-02-25
5548231,2013-02-26
5467278,2013-02-27
5637754,2013-02-28
5313688,2013-03-01
